player_id,course_name,round_id,round_date,hole_number,par,yards,stroke_index,score,score_vs_par
1,Hurtmore Golf Club,37,2023-07-08,4,4,228,18,5,1
1,Hurtmore Golf Club,37,2023-07-08,5,3,116,6,2,-1
1,Hurtmore Golf Club,37,2023-07-08,6,4,346,4,7,3
1,Hurtmore Golf Club,37,2023-07-08,7,4,264,16,4,0
1,Hurtmore Golf Club,37,2023-07-08,8,4,252,14,5,1
1,Hurtmore Golf Club,37,2023-07-08,9,4,347,10,6,2
1,Hurtmore Golf Club,37,2023-07-08,10,4,318,11,5,1
1,Hurtmore Golf Club,37,2023-07-08,11,4,257,15,5,1
1,Hurtmore Golf Club,37,2023-07-08,12,4,359,1,6,2
1,Hurtmore Golf Club,37,2023-07-08,13,4,303,13,9,5
1,Hurtmore Golf Club,37,2023-07-08,14,4,294,3,4,0
1,Hurtmore Golf Club,37,2023-07-08,15,5,511,5,6,1
1,Hurtmore Golf Club,37,2023-07-08,16,3,125,7,7,4
1,Hurtmore Golf Club,37,2023-07-08,17,4,238,17,5,1
1,Hurtmore Golf Club,37,2023-07-08,18,4,325,9,6,2
1,Boundary Lakes,38,2023-07-21,1,4,331,5,5,1
1,Boundary Lakes,38,2023-07-21,2,3,114,14,8,5
1,Boundary Lakes,38,2023-07-21,3,4,355,4,9,5
1,Boundary Lakes,38,2023-07-21,4,4,296,15,4,0
1,Boundary Lakes,38,2023-07-21,5,3,147,16,4,1
1,Boundary Lakes,38,2023-07-21,6,5,476,7,7,2
1,Boundary Lakes,38,2023-07-21,7,4,363,9,4,0
1,Boundary Lakes,38,2023-07-21,8,5,528,2,6,1
1,Boundary Lakes,38,2023-07-21,9,3,164,10,6,3
1,Boundary Lakes,38,2023-07-21,10,4,231,17,5,1
1,Boundary Lakes,38,2023-07-21,11,3,100,18,6,3
1,Boundary Lakes,38,2023-07-21,12,5,495,3,9,4
1,Boundary Lakes,38,2023-07-21,13,3,148,13,4,1
1,Boundary Lakes,38,2023-07-21,14,4,352,1,6,2
1,Boundary Lakes,38,2023-07-21,15,3,173,8,5,2
1,Boundary Lakes,38,2023-07-21,16,4,292,12,6,2
1,Boundary Lakes,38,2023-07-21,17,5,436,11,7,2
1,Boundary Lakes,38,2023-07-21,18,3,153,6,7,4
1,Gatton Mannor Golf Club,39,2023-07-28,1,4,379,9,5,1
1,Gatton Mannor Golf Club,39,2023-07-28,2,3,120,15,5,2
1,Gatton Mannor Golf Club,39,2023-07-28,3,4,332,3,9,5
1,Gatton Mannor Golf Club,39,2023-07-28,4,3,123,7,7,4
1,Gatton Mannor Golf Club,39,2023-07-28,5,4,414,17,9,5
1,Gatton Mannor Golf Club,39,2023-07-28,6,4,333,1,8,4
1,Gatton Mannor Golf Club,39,2023-07-28,7,3,152,13,5,2
1,Gatton Mannor Golf Club,39,2023-07-28,8,5,427,5,9,4
1,Gatton Mannor Golf Club,39,2023-07-28,9,4,389,11,7,3
1,Gatton Mannor Golf Club,39,2023-07-28,10,3,147,12,7,4
1,Gatton Mannor Golf Club,39,2023-07-28,11,4,240,18,8,4
1,Gatton Mannor Golf Club,39,2023-07-28,12,4,289,2,5,1
1,Gatton Mannor Golf Club,39,2023-07-28,13,4,336,16,5,1
1,Gatton Mannor Golf Club,39,2023-07-28,14,3,142,8,4,1
1,Gatton Mannor Golf Club,39,2023-07-28,15,5,471,4,6,1
